#
# File to veto lines either in observed or rest frame
#       or even rest frame of DLA
#
#  Veto lines used for Pk1D analysis (DESI SV)
#
# lambda is given in Angstrom
#
# name  lambda_min  lambda_max  ('OBS' or 'RF' or 'RF_DLA') 
#
sky_lines  9475.9  9483.3  OBS
sky_lines  9491.1  9494.5  OBS
sky_lines  9503.1  9508.1  OBS
sky_lines  9519.1  9524.9  OBS
sky_lines  9530.3  9534.5  OBS
sky_lines  9535.1  9541.7  OBS
sky_lines  9552.7  9557.7  OBS
sky_lines  9560.7  9564.9  OBS
sky_lines  9567.1  9576.9  OBS
sky_lines  9607.9  9612.9  OBS
sky_lines  9620.7  9627.3  OBS
sky_lines  9668.7  9674.5  OBS
sky_lines  9675.1  9678.5  OBS
sky_lines  9679.9  9687.3  OBS
sky_lines  9691.1  9695.3  OBS
sky_lines  9699.1  9704.1  OBS
sky_lines  9711.9  9716.9  OBS
sky_lines  9719.9  9726.5  OBS
sky_lines  9735.1  9742.5  OBS
sky_lines  9746.3  9750.5  OBS
sky_lines  9789.5  9804.9  OBS
sky_lines  9807.9  9816.9  OBS
sky_lines  9817.5  9822.5  OBS
